time,aqi,pm25,pm10,o3,no2,so2,co,no,nh3,hour,day,month,aqi_lag1,aqi_change_rate
2025-07-17 16:37:45,4,21.59,100.38,40.9,0.08,0.33,78.13,0.0,0,16,17,7,,
2025-07-17 17:18:20,4,21.59,100.38,40.9,0.08,0.33,78.13,0.0,0,17,17,7,4.0,0.0
2025-07-17 18:36:15,3,20.89,96.81,41.49,0.07,0.34,78.88,0.0,0,18,17,7,4.0,-1.0
2025-07-17 19:20:27,3,20.89,96.81,41.49,0.07,0.34,78.88,0.0,0,19,17,7,3.0,0.0
2025-07-17 20:21:12,3,20.56,94.67,42.11,0.07,0.33,79.48,0.0,0,20,17,7,3.0,0.0
2025-07-17 21:23:02,3,20.61,94.4,42.53,0.07,0.33,79.88,0.0,0,21,17,7,3.0,0.0
2025-07-17 22:23:49,3,21.2,96.67,42.63,0.07,0.33,79.87,0.0,0,22,17,7,3.0,0.0
2025-07-17 23:24:17,4,22.09,100.16,42.6,0.07,0.34,80.06,0.0,0,23,17,7,3.0,1.0
2025-07-18 02:04:10,4,23.06,102.41,43.33,0.07,0.31,80.79,0.0,0,2,18,7,4.0,0.0
2025-07-18 04:00:11,4,23.42,101.8,44.11,0.08,0.28,81.08,0.01,0,4,18,7,4.0,0.0
2025-07-18 05:29:29,3,22.55,97.75,44.12,0.06,0.26,81.14,0.01,0,5,18,7,4.0,-1.0
2025-07-18 06:29:09,3,22.5,96.8,43.62,0.05,0.25,80.9,0.01,0,6,18,7,3.0,0.0
2025-07-18 07:21:36,3,22.43,95.91,42.7,0.05,0.24,80.6,0.01,0,7,18,7,3.0,0.0
2025-07-18 08:32:57,3,22.02,93.4,40.56,0.04,0.23,79.32,0.01,0,8,18,7,3.0,0.0
2025-07-18 09:28:56,3,22.02,93.4,40.56,0.04,0.23,79.32,0.01,0,9,18,7,3.0,0.0
2025-07-18 10:26:49,3,21.81,92.37,39.84,0.05,0.22,78.94,0.01,0,10,18,7,3.0,0.0
2025-07-18 11:16:37,3,21.55,91.54,39.27,0.05,0.23,78.18,0.01,0,11,18,7,3.0,0.0
2025-07-18 12:47:36,3,22.34,96.52,38.7,0.08,0.28,76.11,0.01,0,12,18,7,3.0,0.0
2025-07-18 13:39:05,3,19.95,81.58,39.03,0.08,0.23,77.16,0.0,0,13,18,7,3.0,0.0
2025-07-18 14:21:05,3,20.86,87.0,39.66,0.08,0.25,77.41,0.0,0,14,18,7,3.0,0.0
2025-07-18 15:26:05,3,19.66,81.89,39.58,0.09,0.24,77.38,0.0,0,15,18,7,3.0,0.0
2025-07-18 16:32:16,3,19.48,82.86,40.83,0.09,0.26,77.97,0.0,0,16,18,7,3.0,0.0
2025-07-18 17:23:26,3,19.48,82.86,40.83,0.09,0.26,77.97,0.0,0,17,18,7,3.0,0.0
2025-07-18 18:34:27,3,19.92,84.5,41.88,0.09,0.28,78.62,0.0,0,18,18,7,3.0,0.0
2025-07-18 19:19:26,3,19.92,84.5,41.88,0.09,0.28,78.62,0.0,0,19,18,7,3.0,0.0
2025-07-18 20:26:36,3,19.98,84.04,42.39,0.09,0.29,79.32,0.0,0,20,18,7,3.0,0.0
2025-07-18 21:23:12,3,20.14,83.93,42.79,0.08,0.3,80.02,0.0,0,21,18,7,3.0,0.0
2025-07-18 22:18:36,3,20.22,80.48,42.96,0.08,0.31,80.36,0.0,0,22,18,7,3.0,0.0
2025-07-18 23:23:21,3,20.05,76.55,43.18,0.08,0.31,80.7,0.0,0,23,18,7,3.0,0.0
2025-07-19 01:58:13,3,19.67,74.69,43.62,0.08,0.31,81.54,0.0,0,1,19,7,3.0,0.0
2025-07-19 03:33:58,3,19.41,73.0,43.93,0.08,0.3,81.77,0.01,0,3,19,7,3.0,0.0
2025-07-19 04:34:14,3,20.02,76.17,43.5,0.07,0.3,81.11,0.01,0,4,19,7,3.0,0.0
2025-07-19 05:24:54,3,20.02,76.17,43.5,0.07,0.3,81.11,0.01,0,5,19,7,3.0,0.0
2025-07-19 06:33:57,3,22.16,87.24,41.96,0.06,0.33,78.81,0.01,0,6,19,7,3.0,0.0
2025-07-19 07:21:52,3,22.16,87.24,41.96,0.06,0.33,78.81,0.01,0,7,19,7,3.0,0.0
2025-07-19 08:30:04,3,23.32,94.59,40.73,0.06,0.34,76.74,0.01,0,8,19,7,3.0,0.0
2025-07-19 09:18:25,3,23.32,94.59,40.73,0.06,0.34,76.74,0.01,0,9,19,7,3.0,0.0
2025-07-19 10:25:17,3,23.49,96.32,40.52,0.06,0.35,76.55,0.01,0,10,19,7,3.0,0.0
2025-07-19 11:19:41,3,23.34,97.14,40.5,0.07,0.36,76.56,0.01,0,11,19,7,3.0,0.0
2025-07-19 12:46:33,3,21.01,78.36,40.54,0.08,0.32,78.63,0.0,0,12,19,7,3.0,0.0
2025-07-19 13:32:26,3,19.8,74.52,41.32,0.08,0.32,80.06,0.0,0,13,19,7,3.0,0.0
2025-07-19 14:21:04,3,19.8,74.52,41.32,0.08,0.32,80.06,0.0,0,14,19,7,3.0,0.0
2025-07-19 15:20:50,3,18.35,71.57,42.4,0.09,0.34,82.56,0.0,0,15,19,7,3.0,0.0
2025-07-19 16:27:19,3,16.61,66.55,43.04,0.09,0.34,84.59,0.0,0,16,19,7,3.0,0.0
2025-07-19 17:21:16,3,15.03,60.86,43.27,0.08,0.34,85.9,0.0,0,17,19,7,3.0,0.0
2025-07-19 18:32:03,3,14.35,57.75,43.34,0.09,0.38,89.22,0.0,0,18,19,7,3.0,0.0
2025-07-19 19:18:05,3,14.35,57.75,43.34,0.09,0.38,89.22,0.0,0,19,19,7,3.0,0.0
2025-07-19 20:25:33,3,14.65,57.97,43.17,0.09,0.38,90.28,0.0,0,20,19,7,3.0,0.0
2025-07-19 21:21:48,3,14.83,58.93,42.98,0.1,0.38,90.71,0.0,0,21,19,7,3.0,0.0
2025-07-19 22:22:55,3,14.84,60.3,42.78,0.1,0.37,90.22,0.0,0,22,19,7,3.0,0.0
2025-07-19 23:25:36,3,14.94,62.31,42.19,0.1,0.37,88.53,0.0,0,23,19,7,3.0,0.0
2025-07-20 02:11:44,3,15.91,67.49,39.81,0.11,0.37,82.51,0.0,0,2,20,7,3.0,0.0
2025-07-20 04:04:25,3,15.72,62.59,40.39,0.11,0.34,81.64,0.0,0,4,20,7,3.0,0.0
2025-07-20 05:28:49,3,16.29,64.39,40.88,0.09,0.34,81.2,0.01,0,5,20,7,3.0,0.0
2025-07-20 06:33:45,3,19.44,81.55,41.1,0.07,0.36,78.78,0.01,0,6,20,7,3.0,0.0
2025-07-20 07:21:51,3,19.44,81.55,41.1,0.07,0.36,78.78,0.01,0,7,20,7,3.0,0.0
2025-07-20 08:29:34,3,21.2,92.05,40.88,0.06,0.37,77.15,0.01,0,8,20,7,3.0,0.0
